{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::entsinnen}} : <dd class="content">sich etwas wieder ins Gedächtnis rufen; sich erinnern</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sich jemandes, eines Gesprächs entsinnen</span></span></li><li><span class="beispiel"><span class="font_normal">ich entsinne mich [dessen] gut</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sich an jemanden, an ein Gespräch entsinnen</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">jemanden, ein Tier, etwas (durch Antreiben, Vor-sich-her-Treiben o. Ä.) dazu bringen, sich in eine bestimmte Richtung zu bewegen, an einen bestimmten Ort zu begeben</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Kühe auf die Weide treiben</span></span></li><li><span class="beispiel"><span class="font_normal">Gefangene in ein Lager treiben</span></span></li><li><span class="beispiel"><span class="font_normal">er ließ sich von der Strömung treiben</span></span></li><li><span class="beispiel"><span class="font_normal">der Wind treibt das Laub durch die Alleen <span class="font_kursiv">(weht es vor sich her)</span></span></span></li><li><span class="beispiel"><span class="font_normal">den Ball vor das Tor treiben <span class="font_kursiv">(durch wiederholtes Anstoßen vor das Tor spielen)</span></span></span></li><li>(Jägersprache) <span class="beispiel"><span class="font_normal">Wild, Hasen treiben</span></span> <span class="font_kursiv">(bei einer Treibjagd den Schützen zutreiben)</span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">er lässt sich zu sehr treiben <span class="font_kursiv">(verhält sich zu passiv im Leben)</span></span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">der ewige Streit in der Familie hat die Kinder aus dem Haus getrieben <span class="font_kursiv">(sie zum Verlassen des Elternhauses veranlasst)</span></span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">der Schmerz trieb ihr die Tränen in die Augen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">der Boom hat die Preise in die Höhe, nach oben getrieben <span class="font_kursiv">(eine Preissteigerung zur Folge gehabt)</span></span></span></li></ul></div>
{{c1::treiben}} : <span class="content">jemanden (durch sein Verhalten o. Ä.) in einen extremen Seelenzustand versetzen, dazu bringen, etwas Bestimmtes (Unkontrolliertes) zu tun</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemanden in den Tod, in den, [bis] zum Selbstmord, in den Wahnsinn, zur Raserei, zum Äußersten treiben</span></span></div>
{{c1::treiben}} : <span class="content">jemanden ungeduldig, durch Drängen zu etwas veranlassen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden zur Eile, zum Aufbruch treiben</span></span></li><li><span class="beispiel"><span class="font_normal">er trieb die Männer zur schnellen Erledigung der Arbeit</span></span></li><li><span class="beispiel"><span class="font_normal">muss man dich immer treiben, damit du etwas tust?</span></span></li><li><span class="beispiel"><span class="font_normal">treib [ihn] nicht immer so!</span></span></li><li>&lt;auch unpersönlich&gt;: <span class="beispiel"><span class="font_normal">es trieb ihn, ihr zu danken</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">seine Eifersucht hatte ihn zu dieser Tat getrieben</span></span></li></ul></div>
{{c1::treiben}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/antreiben#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10174666" meta-ref-name="antreiben" meta-type="art">antreiben (2)</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Wasser treibt die Räder</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Maschine wird von Wasserkraft getrieben</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">von einer Strömung [fort]bewegt werden</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »ist« oder »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">etwas treibt auf dem, im Wasser</span></span></li><li><span class="beispiel"><span class="font_normal">das Schiff treibt steuerlos auf dem Meer</span></span></li><li><span class="beispiel"><span class="font_normal">Eisschollen trieben auf dem Fluss</span></span></li><li><span class="beispiel"><span class="font_normal">Treibgut war/hatte auf dem Fluss getrieben</span></span></li><li><span class="beispiel"><span class="font_normal">Nebelschwaden treiben in der Luft</span></span></li><li><span class="beispiel"><span class="font_normal">treibende <span class="font_kursiv">(am Himmel dahinziehende) </span>Wolken</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">er hat die Dinge zu lange treiben lassen <span class="font_kursiv">(sich selbst überlassen)</span></span></span></li></ul></div>
{{c1::treiben}} : <span class="content">in eine bestimmte Richtung, auf ein Ziel zu bewegt werden</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »ist«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Ballon treibt landeinwärts</span></span></li><li><span class="beispiel"><span class="font_normal">Treibgut war ans Ufer getrieben</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">man weiß nicht, wohin die Dinge treiben <span class="font_kursiv">(wie sie sich entwickeln)</span></span></span></li></ul></div>
{{c1::treiben}} : <span class="content">(von männlichen Tieren in der Paarungszeit) das weibliche Tier verfolgen, vor sich hertreiben</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Jägersprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Böcke treiben die Ricken</span></span></div>
{{c1::treiben}} : <span class="content">(durch Schläge mit einem Werkzeug o. Ä.) in etwas eindringen lassen; hineintreiben, einschlagen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Keil in den Baumstamm, Pflöcke in den Boden treiben</span></span></div>
{{c1::treiben}} : <span class="content">(von Hohlräumen bestimmter Art) durch Bohrung o. Ä. irgendwo herstellen, schaffen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Schacht [in die Erde] treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">einen Tunnel durch den Berg, in den Fels treiben</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">zum Zerkleinern o. Ä. durch eine bestimmte Maschine, ein Gerät <a href="http://www.duden.de/rechtschreibung/durchpressen" meta-ref-id="10174523" meta-ref-name="durchpressen" meta-type="art">durchpressen</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">etwas durch ein Sieb, durch den Fleischwolf treiben</span></span></div>
{{c1::treiben}} : <span class="content">(zu Platten dünn ausgewalztes Metall) in kaltem Zustand mit dem Hammer, der Punze formen, gestalten</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Silber, Messing treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">eine Schale aus getriebenem Gold</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">durch <a href="http://www.duden.de/rechtschreibung/treiben#b2-Bedeutung-8a" meta-ref-anker="#b2-Bedeutung-8a" meta-ref-id="10085799" meta-ref-name="treiben" meta-type="art">Treiben (8a)</a> herstellen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ein Gefäß [aus, in Silber] treiben</span></span></div>
{{c1::treiben}} : <span class="content">harntreibend, schweißtreibend sein, wirken</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Bier, Lindenblütentee treibt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein treibendes Medikament</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">sich mit etwas zu Erlernendem o. Ä. kontinuierlich befassen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Französisch, Philosophie treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie treibt neuerdings wieder mit großem Eifer ihre Studien</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">sich mit etwas beschäftigen; etwas machen, tun</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Unfug treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">was habt ihr bei dem schlechten Wetter, den ganzen Tag getrieben?</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">sich mit etwas zum Zwecke des Erwerbs befassen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Handel, ein Gewerbe, ein Handwerk treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Ackerbau und Viehzucht treiben</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">(in verblasster Bedeutung in Verbindung mit Substantiven) drückt aus, dass etwas mit bestimmter Konsequenz betrieben, verfolgt wird</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Spionage treiben <span class="font_kursiv">(spionieren)</span></span></span></li><li><span class="beispiel"><span class="font_normal">Verschwendung, Luxus, Aufwand treiben <span class="font_kursiv">(verschwenderisch, luxuriös, aufwendig leben)</span></span></span></li><li><span class="beispiel"><span class="font_normal">seinen Spott mit jemandem treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Missbrauch mit etwas treiben</span></span></li></ul></div>
{{c1::treiben}} : <span class="content">etwas in einem Kritik herausfordernden Übermaß tun</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">in Verbindung mit »es«; Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich abwertend</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">es toll, zu bunt, zu arg treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er hat es zu weit getrieben <span class="font_kursiv">(in seinem Verhalten den Bogen überspannt)</span></span></span></li></ul></div>
{{c1::treiben}} : <span class="content">mit jemandem in einer Kritik herausfordernden Art umgehen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">in Verbindung mit »es«; Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie haben es übel mit den Flüchtlingen getrieben</span></span></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">es [mit jemandem] treiben</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich verhüllend:  </span><span class="iw_rumpf_info"><span class="font_normal">[mit jemandem] geschlechtlich verkehren</span></span>)</span></div>
{{c1::treiben}} : <span class="content">(besonders von Hefe oder entsprechend versetztem Teig) <a href="http://www.duden.de/rechtschreibung/aufgehen#b2-Bedeutung-4" meta-ref-anker="#b2-Bedeutung-4" meta-ref-id="10087312" meta-ref-name="aufgehen" meta-type="art">aufgehen (4)</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">seltener</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Hefe, der Hefeteig muss noch treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das Backpulver treibt den Teig <span class="font_kursiv">(lässt ihn aufgehen)</span></span></span></li></ul></div>
{{c1::treiben}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/austreiben#b2-Bedeutung-4a" meta-ref-anker="#b2-Bedeutung-4a" meta-ref-id="10125815" meta-ref-name="austreiben" meta-type="art">austreiben (4a)</a>, <a href="http://www.duden.de/rechtschreibung/ausschlagen#b2-Bedeutung-9" meta-ref-anker="#b2-Bedeutung-9" meta-ref-id="10176020" meta-ref-name="ausschlagen" meta-type="art">ausschlagen (9)</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Bäume, Sträucher beginnen zu treiben</span></span></div>
{{c1::treiben}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/austreiben#b2-Bedeutung-4b" meta-ref-anker="#b2-Bedeutung-4b" meta-ref-id="10125815" meta-ref-name="austreiben" meta-type="art">austreiben (4b)</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Sträucher und Bäume treiben Blüten</span></span></div>
{{c1::treiben}} : <span class="content">im Treibhaus o. Ä. unter besonderen Bedingungen züchten, heranziehen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">Perfektbildung mit »hat«</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Gartenbau</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Maiglöckchen, Flieder, Paprika in Gewächshäusern treiben</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">im Frühbeet getriebener Salat</span></span></li></ul></div>
{{c1::aufzeigen}} : <span class="content">deutlich zeigen, nachweisen, darlegen, demonstrieren</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Fehler, Schwächen aufzeigen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er zeigte auf, wie groß die Umweltschäden sein würden</span></span></li></ul></div>
{{c1::aufzeigen}} : <span class="content">sich <a href="/rechtschreibung/melden#b2-Bedeutung-5" meta-ref-anker="#b2-Bedeutung-5" meta-ref-id="10177433" meta-ref-name="melden" meta-type="art">melden (5)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">österreichisch, sonst landschaftlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">wer es weiß, soll aufzeigen</span></span></div>
{{c1::Beitrag}} : <span class="content">[regelmäßig] zu zahlender Betrag an einen Verein, eine Organisation, Versicherung u. a.</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">den vollen Beitrag zahlen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Beiträge kassieren</span></span></li></ul></div>
{{c1::Beitrag}} : <span class="content">Mitwirkung; Arbeit, Leistung als Anteil, mit dem sich jemand bei der Gestaltung, Verwirklichung von etwas beteiligt</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Beitrag für die Zukunft leisten</span></span></div>
{{c1::Beitrag}} : <span class="content">Aufsatz, Artikel in einer Zeitung, Zeitschrift oder in einem Sammelband verschiedener Autoren</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">regelmäßig [sprachwissenschaftliche] Beiträge in einer Zeitschrift veröffentlichen</span></span></div>
{{c1::Beitrag}} : <span class="content">in sich abgeschlossener Teil, einzelne Darbietung des Rundfunk- oder Fernsehprogramms</span>	
{{c1::Trubel}} : <dd class="content">[mit <a href="http://www.duden.de/rechtschreibung/Gewuehl#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10043357" meta-ref-name="Gewuehl" meta-type="art">Gewühl (2)</a> verbundenes] lebhaftes geschäftiges oder lustiges Treiben</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">in der Stadt herrschte [ein] großer Trubel</span></span></li><li><span class="beispiel"><span class="font_normal">sie wollten dem Trubel des Festtags entgehen</span></span></li><li><span class="beispiel"><span class="font_normal">in dem allgemeinen Trubel waren die Kinder verloren gegangen</span></span></li><li><span class="beispiel"><span class="font_normal">sie stürzten sich in den dicksten Trubel</span></span></li><li><span class="beispiel"><span class="font_normal">aus dem Trubel nicht herauskommen <span class="font_kursiv">(nicht zur Ruhe kommen)</span></span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">im Trubel der Ereignisse</span></span></li></ul></div>
{{c1::Zärtlichkeit}} : <span class="content">starkes Gefühl der Zuneigung und damit verbundener Drang, dieser Zuneigung Ausdruck zu geben; das Zärtlichsein</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sie empfand eine große Zärtlichkeit für sie</span></span></li><li><span class="beispiel"><span class="font_normal">sich nach [jemandes] Zärtlichkeit sehnen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">voller Zärtlichkeit küssten, umarmten sie sich</span></span></li></ul></div>
{{c1::Zärtlichkeit}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/zaertlich#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10018313" meta-ref-name="zaertlich" meta-type="art">zärtliche (1)</a> Liebkosung</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>meist im Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Zärtlichkeiten austauschen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">es ist zwischen den beiden auch zu Zärtlichkeiten gekommen</span></span></li></ul></div>
{{c1::Zärtlichkeit}} : <span class="content">Fürsorglichkeit</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie pflegte das Kind mit der größten Zärtlichkeit</span></span></div>
{{c1::hemmen}} : <span class="content">dem Lauf, der Bewegung von etwas Widerstand entgegensetzen und sie dadurch [bis zum Stillstand] verlangsamen, bremsen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die rasche Fahrt des Wagens hemmen</span></span></li><li><span class="beispiel"><span class="font_normal">den Lauf des Flusses durch eine Staumauer hemmen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">nichts kann den Lauf des Schicksals hemmen</span></span></li></ul></div>
{{c1::hemmen}} : <span class="content">einen Vorgang, ein Tun in seinem Ablauf durch Widerstand, bestimmte Maßnahmen o. Ä. aufhalten; für jemanden, etwas in bestimmter Hinsicht ein Hemmnis sein</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">den Fortschritt hemmen</span></span></li><li><span class="beispiel"><span class="font_normal">jemanden in seiner Entwicklung hemmen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">einen hemmenden Einfluss auf etwas ausüben</span></span></li></ul></div>
{{c1::nachdenken}} : <dd class="content">sich in Gedanken eingehend mit jemandem, etwas beschäftigen; versuchen, sich in Gedanken über jemanden, über einen Sachverhalt klar zu werden</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">lange, gründlich, tief [über etwas] nachdenken</span></span></li><li><span class="beispiel"><span class="font_normal">über ein Problem nachdenken</span></span></li><li><span class="beispiel"><span class="font_normal">denk mal scharf nach, dann wird es dir schon einfallen</span></span></li><li class="noBottomMargin">&lt;substantiviert&gt;: <span class="beispiel"><span class="font_normal">in tiefes Nachdenken versunken sein</span></span></li></ul></div>
{{c1::bemühen}} : <span class="content">sich Mühe geben, sich anstrengen, einer Aufgabe gerecht zu werden, sie zu bewältigen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich bemühen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ich will mich bemühen, pünktlich zu sein</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">bitte bemühen Sie sich nicht! <span class="font_kursiv">(machen Sie sich keine Umstände!)</span></span></span></li></ul></div>
{{c1::bemühen}} : <span class="content">sich kümmern; etwas für jemanden, etwas tun</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich bemühen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie bemühten sich um den Kranken, um die Gäste</span></span></div>
{{c1::bemühen}} : <span class="content">Anstrengungen machen, um jemanden, etwas für sich zu gewinnen; zu erlangen suchen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich bemühen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sich um eine Stellung bemühen</span></span></div>
{{c1::bemühen}} : <span class="content">sich an einen bestimmten Ort begeben; sich die Mühe machen, einen Platz aufzusuchen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich bemühen</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sich zum Nachbarn bemühen</span></span></div>
{{c1::bemühen}} : <span class="content">in Anspruch nehmen; zu Hilfe holen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">dürfen wir Sie noch einmal bemühen?</span></span></div>
{{c1::umstritten}} : <dd class="content">in seiner Gültigkeit, in seinem Wert dem Streit der Meinungen unterliegend</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine umstrittene Theorie, Frage, Methode</span></span></li><li><span class="beispiel"><span class="font_normal">ein umstrittenes Bauvorhaben, Gesetz</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Autor war umstritten</span></span></li></ul></div>
{{c1::entstellen}} : <span class="content">jemandes Aussehen zu seinen Ungunsten verändern (oft so sehr, dass er kaum wiederzuerkennen ist)</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Ausschlag entstellte sie sehr</span></span></li><li><span class="beispiel"><span class="font_normal">der Soldat war bis zur Unkenntlichkeit entstellt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein entstelltes Gesicht</span></span></li></ul></div>
{{c1::entstellen}} : <span class="content">im Sinn verfälschen, falsch darstellen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Druckfehler entstellt den Sinn des Satzes</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Artikel gab ihre Äußerungen entstellt wieder</span></span></li></ul></div>
{{c1::entwerfen}} : <span class="content">planend zeichnen, skizzieren</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Möbel, ein Plakat entwerfen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">ein Bild der sozialen Zustände im 16. Jahrhundert entwerfen <span class="font_kursiv">(eine charakterisierende Schilderung der sozialen Zustände im 16. Jahrhundert geben)</span></span></span></li></ul></div>
{{c1::entwerfen}} : <span class="content">in seinen wesentlichen Punkten [schriftlich] festlegen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Plan, ein Programm entwerfen</span></span></div>
{{c1::humorlos}} : <dd class="content">keinen <a href="http://www.duden.de/rechtschreibung/Humor_Stimmung_Frohsinn#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10014853" meta-ref-name="Humor_Stimmung_Frohsinn" meta-type="art">Humor (1)</a> zeigend; von verbissener, pedantischer Ernsthaftigkeit; ohne die Fähigkeit [auch über sich selbst] zu lachen</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein humorloser Mensch</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er ist gänzlich humorlos</span></span></li></ul></div>
